ID,Main Artist,Featuring,Song,Key,BPM,Duration,Genre,Language,Country,Year Released,Arrangement,Piano?,Guitar solo?,Classic?,Main Artist_normalized,Featuring_normalized,Song_normalized,Genre_normalized,Language_normalized,Country_normalized,Arrangement_normalized,Key_normalized,BPM Range,Year Range
49.0,Sin Bandera,,Suficiente,G#m,96,4:46,['Latin Pop'],['Spanish'],"['Argentina', 'Mexico']",2004,[],,,,sin bandera,,suficiente,['latin pop'],['spanish'],"['argentina', 'mexico']",[],g#m,90.0,2000.0
50.0,Sin Bandera,,De viaje,C,65,4:15,['Latin Pop'],['Spanish'],"['Argentina', 'Mexico']",2006,[],,,,sin bandera,,de viaje,['latin pop'],['spanish'],"['argentina', 'mexico']",[],c,60.0,2000.0
51.0,Sin Bandera,,Junto a Ti,E,85,4:01,['Latin Pop'],['Spanish'],"['Argentina', 'Mexico']",2006,[],,,,sin bandera,,junto a ti,['latin pop'],['spanish'],"['argentina', 'mexico']",[],e,80.0,2000.0
52.0,Sin Bandera,,Sirena,A,111,3:30,['Latin Pop'],['Spanish'],"['Argentina', 'Mexico']",2008,[],,,,sin bandera,,sirena,['latin pop'],['spanish'],"['argentina', 'mexico']",[],a,110.0,2000.0
53.0,Sin Bandera,,Ves,E,63,3:32,['Latin Pop'],['Spanish'],"['Argentina', 'Mexico']",2009,[],,,,sin bandera,,ves,['latin pop'],['spanish'],"['argentina', 'mexico']",[],e,60.0,2000.0
54.0,Michael Bublé,,Crazy Love,G,76,3:32,['Jazz/Pop'],['English'],['Canada'],2009,[],,,,michael buble,,crazy love,['jazz/pop'],['english'],['canada'],[],g,70.0,2000.0
55.0,FKJ,Masego,Tadow,Am,61,5:01,['Neo-Soul'],['English'],"['France', 'United States']",2017,[],,,,fkj,masego,tadow,['neo-soul'],['english'],"['france', 'united states']",[],am,60.0,2010.0
56.0,FKJ,,Way Out,Eb,59,3:20,['Neo-Soul'],['English'],['France'],2017,[],,,,fkj,,way out,['neo-soul'],['english'],['france'],[],eb,50.0,2010.0
57.0,Jay Kalyl,,Lunes,E,95,3:19,['Christian'],['Spanish'],['Puerto Rico'],2018,[],,,,jay kalyl,,lunes,['christian'],['spanish'],['puerto rico'],[],e,90.0,2010.0
58.0,Justin Bieber,,Sorry,Cm,100,3:20,['Pop'],['English'],['Canada'],2015,[],,,,justin bieber,,sorry,['pop'],['english'],['canada'],[],cm,100.0,2010.0
59.0,Extreme,,More Than Words,Gb,92,4:12,['Rock'],['English'],['United States'],1990,[],,,,extreme,,more than words,['rock'],['english'],['united states'],[],gb,90.0,1990.0
61.0,Mr. Big,,To Be With You,E,83,3:30,['Rock'],['English'],['USA'],1991,[],,,x,mr. big,,to be with you,['rock'],['english'],['usa'],[],e,80.0,1990.0
62.0,Voz Veis,,Esos Ojos Que Me Miran,G,108,4:23,['Latin Pop'],['Spanish'],['Venezuela'],2007,[],,,,voz veis,,esos ojos que me miran,['latin pop'],['spanish'],['venezuela'],[],g,100.0,2000.0
63.0,Voz Veis,,La Mesera,E,105,4:00,['Latin Pop'],['Spanish'],['Venezuela'],2007,[],,,,voz veis,,la mesera,['latin pop'],['spanish'],['venezuela'],[],e,100.0,2000.0
64.0,Voz Veis,,Virao,Am,136,3:02,['Latin Pop'],['Spanish'],['Venezuela'],2007,[],,,,voz veis,,virao,['latin pop'],['spanish'],['venezuela'],[],am,130.0,2000.0
65.0,Voz Veis,,Y como hare,A,90,3:26,['Latin Pop'],['Spanish'],['Venezuela'],2007,[],,,,voz veis,,y como hare,['latin pop'],['spanish'],['venezuela'],[],a,90.0,2000.0
66.0,Voz Veis,,Respiro,G,128,3:15,['Latin Pop'],['Spanish'],['Venezuela'],2007,[],,,,voz veis,,respiro,['latin pop'],['spanish'],['venezuela'],[],g,120.0,2000.0
67.0,Voz Veis,,Tanto Swing,C,92,2:10,['Latin Pop'],['Spanish'],['Venezuela'],2007,[],,,,voz veis,,tanto swing,['latin pop'],['spanish'],['venezuela'],[],c,90.0,2000.0
68.0,Voz Veis,,Somos mas,E,84,4:00,['Latin Pop'],['Spanish'],['Venezuela'],2007,[],,,,voz veis,,somos mas,['latin pop'],['spanish'],['venezuela'],[],e,80.0,2000.0
69.0,Voz Veis,,La Colmena De la Vida,D,104,3:48,['Latin Pop'],['Spanish'],['Venezuela'],2007,[],,,,voz veis,,la colmena de la vida,['latin pop'],['spanish'],['venezuela'],[],d,100.0,2000.0
70.0,Voz Veis,,Inexplicable,G,112,3:40,['Latin Pop'],['Spanish'],['Venezuela'],2007,[],,,,voz veis,,inexplicable,['latin pop'],['spanish'],['venezuela'],[],g,110.0,2000.0
71.0,Voz Veis,,Quizas,Ab,67,3:46,['Latin Pop'],['Spanish'],['Venezuela'],2007,[],,,,voz veis,,quizas,['latin pop'],['spanish'],['venezuela'],[],ab,60.0,2000.0
72.0,Voz Veis,Ricardo Montaner,Ven A Mi Casa Esta Navidad,F,88,3:42,"['Latin Pop', 'Christmas']",['Spanish'],['Venezuela'],2007,[],,,,voz veis,ricardo montaner,ven a mi casa esta navidad,"['latin pop', 'christmas']",['spanish'],['venezuela'],[],f,80.0,2000.0
73.0,Voz Veis,,Al Otro Lado,E,88,3:22,['Latin Pop'],['Spanish'],['Venezuela'],2007,[],,,,voz veis,,al otro lado,['latin pop'],['spanish'],['venezuela'],[],e,80.0,2000.0
74.0,Voz Veis,Noel Schajris,Gloria,G,105,2:52,['Latin Pop'],['Spanish'],['Venezuela'],2007,[],,,,voz veis,noel schajris,gloria,['latin pop'],['spanish'],['venezuela'],[],g,100.0,2000.0
75.0,Voz Veis,,Amor secreto,F,98,2:43,['Latin Pop'],['Spanish'],['Venezuela'],2007,[],,,,voz veis,,amor secreto,['latin pop'],['spanish'],['venezuela'],[],f,90.0,2000.0
76.0,Cristian Castro,,Nunca Voy A Olvidarte,Eb,78,5:07,['Latin Pop'],['Spanish'],['Mexico'],1993,['Long song'],,,,cristian castro,,nunca voy a olvidarte,['latin pop'],['spanish'],['mexico'],['long song'],eb,70.0,1990.0
77.0,Cristian Castro,,Angel,Ab,68,5:01,['Latin Pop'],['Spanish'],['Mexico'],1999,['Long song'],,,,cristian castro,,angel,['latin pop'],['spanish'],['mexico'],['long song'],ab,60.0,1990.0
78.0,Cristian Castro,,Volver a Amar,Em,81,4:41,['Latin Pop'],['Spanish'],['Mexico'],2001,[],,,,cristian castro,,volver a amar,['latin pop'],['spanish'],['mexico'],[],em,80.0,2000.0
79.0,Cristian Castro,,Por Amarte Así,Db,64,4:32,['Latin Pop'],['Spanish'],['Mexico'],2000,[],,,,cristian castro,,por amarte asi,['latin pop'],['spanish'],['mexico'],[],db,60.0,2000.0
80.0,Cristian Castro,,Azul,F,128,4:20,['Latin Pop'],['Spanish'],['Mexico'],2001,[],,,,cristian castro,,azul,['latin pop'],['spanish'],['mexico'],[],f,120.0,2000.0
81.0,Ana Isabelle,Cristian Castro,Por Amarte Asi,Db,65,4:13,['Latin Pop'],['Spanish'],"['Puerto Rico', 'Mexico']",2012,[],,,,ana isabelle,cristian castro,por amarte asi,['latin pop'],['spanish'],"['puerto rico', 'mexico']",[],db,60.0,2010.0
82.0,Diego Torres,,Tal Vez,A,82,3:22,['Latin Pop'],['Spanish'],['Argentina'],2006,[],,,,diego torres,,tal vez,['latin pop'],['spanish'],['argentina'],[],a,80.0,2000.0
83.0,Sebastian Yatra,,Fantasía,G,58,2:58,['Latin Pop'],['Spanish'],['Colombia'],2019,[],,,,sebastian yatra,,fantasia,['latin pop'],['spanish'],['colombia'],[],g,50.0,2010.0
84.0,SZA,,Nobody Gets Me,G,75,3:00,"['R&B', 'Soul']",['English'],['USA'],2022,[],,,,sza,,nobody gets me,"['r&b', 'soul']",['english'],['usa'],[],g,70.0,2020.0
85.0,Cirque du Soleil,,Kalimando,D,86,4:12,['Soundtrack'],['Instrumental'],['Canada'],1994,[],,,,cirque du soleil,,kalimando,['soundtrack'],['instrumental'],['canada'],[],d,80.0,1990.0
86.0,Cirque du Soleil,,Querer,Dm,105,4:34,['Soundtrack'],['Spanish'],['Canada'],1994,['Cool chords'],,,,cirque du soleil,,querer,['soundtrack'],['spanish'],['canada'],['cool chords'],dm,100.0,1990.0
87.0,Cirque du Soleil,,Alegria,Dm,84,4:21,['Soundtrack'],"['Spanish', 'English', 'Italian']",['Canada'],1994,[],,,,cirque du soleil,,alegria,['soundtrack'],"['spanish', 'english', 'italian']",['canada'],[],dm,80.0,1990.0
